M,N,N_DRONES,Value Iteration Time,Policy Iteration Time,Linear Programming Time,Best Algorithm
3,3,2,0.003312826156616211,0.0014882087707519531,0.0031278133392333984,Policy Iteration
3,3,3,0.002315998077392578,0.005631923675537109,0.0052378177642822266,Value Iteration
3,3,4,0.005674123764038086,0.006079912185668945,0.007149934768676758,Value Iteration
3,3,5,0.2472236156463623,0.0014803409576416016,0.0016980171203613281,Policy Iteration
3,4,2,0.0057218074798583984,0.008866071701049805,0.01429605484008789,Value Iteration
3,4,3,0.0052950382232666016,0.0030689239501953125,0.014250993728637695,Policy Iteration
3,4,4,0.005196094512939453,0.006094217300415039,0.009699821472167969,Value Iteration
3,4,5,0.007071018218994141,0.0031108856201171875,0.005940437316894531,Policy Iteration
3,5,2,0.01579594612121582,0.015311002731323242,0.019489049911499023,Policy Iteration
3,5,3,0.013216018676757812,0.008922815322875977,0.019324064254760742,Policy Iteration
3,5,4,0.007981061935424805,0.00556492805480957,0.013165950775146484,Policy Iteration
3,5,5,0.011786937713623047,0.05085301399230957,0.02536797523498535,Value Iteration
3,6,2,0.01603221893310547,0.017901897430419922,0.05073094367980957,Value Iteration
3,6,3,0.01851511001586914,0.01936197280883789,0.02425098419189453,Value Iteration
3,6,4,0.02052783966064453,0.015438079833984375,0.03831791877746582,Policy Iteration
3,6,5,0.025342941284179688,0.025883913040161133,0.03610801696777344,Value Iteration
3,7,2,0.03304719924926758,0.02500295639038086,0.09927988052368164,Policy Iteration
3,7,3,0.024584293365478516,0.04273796081542969,0.10883784294128418,Value Iteration
3,7,4,0.03293800354003906,0.03262209892272949,0.05458521842956543,Policy Iteration
3,7,5,0.030340909957885742,0.0557408332824707,0.09786581993103027,Value Iteration
3,8,2,0.040728092193603516,0.057676076889038086,0.13593673706054688,Value Iteration
3,8,3,0.03952288627624512,0.060739994049072266,0.14224815368652344,Value Iteration
3,8,4,0.03687596321105957,0.04697990417480469,0.15961718559265137,Value Iteration
3,8,5,0.04270625114440918,0.04474592208862305,0.1055307388305664,Value Iteration
4,3,2,0.004860877990722656,0.0030829906463623047,0.008410215377807617,Policy Iteration
4,3,3,0.005258083343505859,0.004464149475097656,0.008305788040161133,Policy Iteration
4,3,4,0.47075414657592773,0.008996725082397461,0.013608932495117188,Policy Iteration
4,3,5,0.4803452491760254,0.007846832275390625,0.009982824325561523,Policy Iteration
4,4,2,0.016098737716674805,0.008467912673950195,0.03245377540588379,Policy Iteration
4,4,3,0.013438940048217773,0.011157035827636719,0.031826019287109375,Policy Iteration
4,4,4,0.01155996322631836,0.006576061248779297,0.02047109603881836,Policy Iteration
4,4,5,0.019548892974853516,0.006864309310913086,0.018733978271484375,Policy Iteration
4,5,2,0.03201603889465332,0.017529726028442383,0.08873414993286133,Policy Iteration
4,5,3,0.03442502021789551,0.021551847457885742,0.06379437446594238,Policy Iteration
4,5,4,0.027764320373535156,0.024545907974243164,0.060205936431884766,Policy Iteration
4,5,5,0.021658897399902344,0.02354907989501953,0.047068119049072266,Value Iteration
4,6,2,0.055503129959106445,0.06265091896057129,0.1693711280822754,Value Iteration
4,6,3,0.04312396049499512,0.04862093925476074,0.1423051357269287,Value Iteration
4,6,4,0.04927325248718262,0.057518720626831055,0.13022327423095703,Value Iteration
4,6,5,0.03339099884033203,0.04368424415588379,0.12335586547851562,Value Iteration
4,7,2,0.0885000228881836,0.12224102020263672,0.29474592208862305,Value Iteration
4,7,3,0.07038593292236328,0.11982417106628418,0.28865528106689453,Value Iteration
4,7,4,0.06697511672973633,0.09570503234863281,0.26111507415771484,Value Iteration
4,7,5,0.06642317771911621,0.10119509696960449,0.21465682983398438,Value Iteration
